trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-73.91019488847861,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-116.96478883912307,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-77.7846232016038,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,12,1.0265715438501934,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-65.10067732932717,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-206.51166696306137,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-14.574728869316203,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-88.49150678456284,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-95.1783669864534,"{0: 13, 1: 0, 2: 3, 3: 4, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-24.226022181404577,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-106.29814384235958,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-135.1723115661643,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-34.64935772745739,"{0: 26, 1: 1, 2: 0, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-52.37799643637266,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-10.723188243826806,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-6.471655608621564,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,19.401955969567247,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,7.542393932738315,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,26.146463636738588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-0.8918239355255975,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-11.037484619532849,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-15.085929871756939,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,8.583011390026797,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-2.3487475065146772,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-24.771709220336557,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,0,-42.067469278895025,"{0: 32, 1: 0, 2: 0, 3: 3, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-49.62459204131637,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-14.78403838954781,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,0,-32.157604919317286,"{0: 32, 1: 0, 2: 0, 3: 3, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-1.1728745400306322,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
