trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.19518678723817,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999996965795154}",20,0,-86.5133749949322,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9999987863182455}",30,0,-146.20105363916224,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999972692167428}",30,0,-225.59905423907048,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.999995145275928}",25,0,-100.36960753584255,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.99999241449709}",20,0,-128.3334664169132,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9999890768818858}",20,0,-100.25508061388234,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9999851324323409}",20,0,-104.42692132876215,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.999980581150849}",20,0,-186.43944466512227,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9999754230401718}",25,0,-81.999981899387,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9999696581034397}",25,0,-154.31324382777325,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.999963286344151}",35,0,-64.41580005845424,"{0: 26, 1: 3, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999563077661723}",20,0,-63.510749036885024,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9999487223737384}",20,0,-153.91379841267153,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
