trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-50.76192916938446,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-85.02635283849781,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-116.53981234390814,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-291.3710339223535,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-202.41792729975438,"{0: 11, 1: 4, 2: 5, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-110.34424487166237,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-114.85751503282515,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-125.83578272202283,"{0: 24, 1: 3, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-182.11906341437668,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-112.46394889959089,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-68.44756423647318,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-76.51552947485402,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-94.07363801229482,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-85.06476806017842,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-93.13710100679282,"{0: 14, 1: 6, 2: 2, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-133.75205987943662,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-191.54942252262921,"{0: 25, 1: 0, 2: 5, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-104.74473608316057,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-221.5677276139748,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-161.08792498584936,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",35,0,-312.6966499290301,"{0: 12, 1: 4, 2: 13, 3: 3, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-26.32700148778836,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-73.88227622368936,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-59.83290743907416,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-89.81483062054377,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-173.88106306217054,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-85.78649131495159,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-237.64499662610368,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",25,0,-120.76965149232052,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-70.6160681207818,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
